Key,English,Ukrainian
TEXTEMOTION_TXT_000000,Laugh,Laugh
TEXTEMOTION_TXT_000001,Sad,Sad
TEXTEMOTION_TXT_000002,Kiss,Kiss
TEXTEMOTION_TXT_000003,Surprise,Surprise
TEXTEMOTION_TXT_000004,Blush,Blush
TEXTEMOTION_TXT_000005,Anger,Anger
TEXTEMOTION_TXT_000006,Sigh,Sigh
TEXTEMOTION_TXT_000007,Wink,Wink
TEXTEMOTION_TXT_000008,Ache,Ache
TEXTEMOTION_TXT_000009,Hunger,Hunger
TEXTEMOTION_TXT_000010,Yummy,Yummy
TEXTEMOTION_TXT_000011,Sneer,Sneer
TEXTEMOTION_TXT_000012,Sparkle,Sparkle
TEXTEMOTION_TXT_000013,Ridicule,Ridicule
TEXTEMOTION_TXT_000014,Sleepy,Sleepy
TEXTEMOTION_TXT_000015,Rich,Rich
TEXTEMOTION_TXT_000016,Glare,Glare
TEXTEMOTION_TXT_000017,Sweat,Sweat
TEXTEMOTION_TXT_000018,Cat face,Cat face
TEXTEMOTION_TXT_000019,Tongue,Tongue
TEXTEMOTION_TXT_000020,Mad,Mad
TEXTEMOTION_TXT_000021,Aha,Aha
TEXTEMOTION_TXT_000022,Embarrassed,Embarrassed
TEXTEMOTION_TXT_000023,Help,Допомога
TEXTEMOTION_TXT_000024,Crazy,Crazy
TEXTEMOTION_TXT_000025,Oh!,Oh!
TEXTEMOTION_TXT_000026,Confused,Confused
TEXTEMOTION_TXT_000027,Ouch,Ouch
TEXTEMOTION_TXT_000028,Love,Love
TEXTEMOTION_TXT_100000,Risitas,Risitas
TEXTEMOTION_TXT_100001,Broken Heart,Broken Heart
TEXTEMOTION_TXT_100002,Sadge,Sadge
TEXTEMOTION_TXT_100003,Copium,Copium
TEXTEMOTION_TXT_100004,Susge,Susge
TEXTEMOTION_TXT_100005,Sheesh,Sheesh
TEXTEMOTION_TXT_100006,Acktually,Acktually
