Key,English,Ukrainian
ITEMTYPE_1H_SWORD,1H Sword,1H Sword
ITEMTYPE_2H_SWORD,2H Sword,2H Sword
ITEMTYPE_1H_AXE,1H Axe,1H Axe
ITEMTYPE_2H_AXE,2H Axe,2H Axe
ITEMTYPE_KNUCKLE,Knuckle,Knuckle
ITEMTYPE_STICK,Stick,Палиця
ITEMTYPE_BOW,Bow,Bow
ITEMTYPE_YOYO,Yo-Yo,Yo-Yo
ITEMTYPE_WAND,Wand,Wand
ITEMTYPE_STAFF,Staff,Staff
ITEMTYPE_COSTUME,Costume,Костюм
ITEMTYPE_SHOES,Shoes,Shoes
ITEMTYPE_PICKUP,Pick-Up Pet,Pick-Up Pet
ITEMTYPE_REAR_PET,Raised Pet,Raised Pet
ITEMTYPE_CONSUMABLE,Consumable,Consumable
ITEMTYPE_BOARD,Board,Дошка
ITEMTYPE_CAR,Car,Автомобіль
ITEMTYPE_WINGS,Wings,Wings
ITEMTYPE_BIKE,Bike,Bike
ITEMTYPE_BERRY,Berry,Berry
ITEMTYPE_DICE,Dice,Dice
ITEMTYPE_BOX,Box,Box
ITEMTYPE_VANITY,Vanity,Vanity
ITEMTYPE_CHIP,Chip,Chip
