Key,English,Ukrainian
ETC_INC_000000,Vagrant,Бродяга
ETC_INC_000001,Mercenary,Найманець
ETC_INC_000002,Acrobat,Акробат
ETC_INC_000003,Assist,Допомога
ETC_INC_000004,Magician,Чарівник
ETC_INC_000005,Puppeteer,Ляльковод
ETC_INC_000006,Knight,Лицар
ETC_INC_000007,Blade,Лезо
ETC_INC_000008,Jester,Шут
ETC_INC_000009,Ranger,Рейнджер
ETC_INC_000010,Ringmaster,Ringmaster
ETC_INC_000011,Billposter,Billposter
ETC_INC_000012,Psykeeper,Psykeeper
ETC_INC_000013,Elementor,Елементор
ETC_INC_000014,Gatekeeper,Gatekeeper
ETC_INC_000015,Doppler,Doppler
ETC_INC_SPECIALIST_000016,Templar,Templar
ETC_INC_SPECIALIST_000017,Slayer,Slayer
ETC_INC_SPECIALIST_000018,Harlequin,Harlequin
ETC_INC_SPECIALIST_000019,Crackshooter,Crackshooter
ETC_INC_SPECIALIST_000020,Seraph,Seraph
ETC_INC_SPECIALIST_000021,Forcemaster,Forcemaster
ETC_INC_SPECIALIST_000022,Mentalist,Mentalist
ETC_INC_SPECIALIST_000023,Arcanist,Arcanist
ETC_INC_SPECIALIST_000024,Summoner,Summoner
ETC_INC_SPECIALIST_000025,Trapmaster,Trapmaster
