Key,English,Ukrainian
PROPKARMA_TXT_000000,Glorious,Glorious
PROPKARMA_TXT_000002,Illustrious,Illustrious
PROPKARMA_TXT_000004,Famed,Famed
PROPKARMA_TXT_000006,Admired,Admired
PROPKARMA_TXT_000008,Proper,Proper
PROPKARMA_TXT_000010,Kind,Kind
PROPKARMA_TXT_000012,Neutral,Нейтральний
PROPKARMA_TXT_000014,Rude,Rude
PROPKARMA_TXT_000016,Unsavory,Unsavory
PROPKARMA_TXT_000018,Scoundrel,Scoundrel
PROPKARMA_TXT_000020,Cold Hearted,Cold Hearted
PROPKARMA_TXT_000022,Brutal,Brutal
PROPKARMA_TXT_000024,Vicious,Vicious
