Key,English,Ukrainian
PROPTROUPESKILL_TXT_000000,Call,Call
PROPTROUPESKILL_TXT_000001,Informs all party members of the party leader's location.,Повідомляє всім членам партії місце розташування лідера партії.
PROPTROUPESKILL_TXT_000002,Blitz,Blitz
PROPTROUPESKILL_TXT_000003,The party leader orders party members to attack a target.,Лідер групи наказує членам групи атакувати ціль.
PROPTROUPESKILL_TXT_000004,Retreat,Retreat
PROPTROUPESKILL_TXT_000005,The party leader orders all party members to retreat.,Лідер партії наказує всім членам партії відступити.
PROPTROUPESKILL_TXT_000008,Precision,Precision
PROPTROUPESKILL_TXT_000009,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.,"Збільшує критичний шанс наступної атаки всіх членів групи навколо лідера на 0.5% для кожного члена групи."
PROPTROUPESKILL_TXT_000010,Linked Attack,Linked Attack
PROPTROUPESKILL_TXT_000011,Each party member around the leader increases the party leader's damage by 5%.,Кожен член групи навколо лідера збільшує шкоду лідера групи на 5%.
PROPTROUPESKILL_TXT_000012,Lucky Drop,Lucky Drop
PROPTROUPESKILL_TXT_000013,Increases the chance for Masquerpets to drop unique items.,Increases the chance for Masquerpets to drop unique items.
PROPTROUPESKILL_TXT_000014,Resting,Resting
PROPTROUPESKILL_TXT_000015,"Party members recover 1.5 times faster. If the party leader is an Assist, party members recover 1.8 times faster.","Члени партії одужують в 1.5 рази швидше. Якщо лідером групи є помічник, члени групи відновлюються в 1.8 рази швидше."
PROPTROUPESKILL_TXT_000016,Gift Box,Gift Box
PROPTROUPESKILL_TXT_000017,Increases the number of items dropped by Masquerpets.,Increases the number of items dropped by Masquerpets.
PROPTROUPESKILL_TXT_000018,Global Attack,Global Attack
PROPTROUPESKILL_TXT_000019,Each party member gains a 2.5% damage bonus for every party member nearby. This does not apply to the leader if Linked Attack is active.,"Кожен член групи отримує 2.5% бонусу до шкоди за кожного члена групи поблизу. Це не стосується лідера, якщо Linked Attack активний."
