Key,English,Ukrainian
PRODUCTION_RECIPE_NAME_PURIFIEDWATER,Purified Water,Очищена вода
PRODUCTION_RECIPE_NAME_WHITEREAGENT,White reagent,Білий реагент
PRODUCTION_RECIPE_NAME_BLUEREAGENT,Blue reagent,Синій реагент
PRODUCTION_RECIPE_NAME_REDREAGENT,Red reagent,Червоний реагент
PRODUCTION_RECIPE_NAME_GREENREAGENT,Green reagent,Зелений реагент
PRODUCTION_RECIPE_NAME_YELLOWREAGENT,Yellow reagent,Жовтий реагент
PRODUCTION_RECIPE_NAME_GOLDREAGENT,Gold reagent,Золотий реагент
PRODUCTION_RECIPE_NAME_VITALDRINK100,VitalDrink 100,Життєвий напій 100
PRODUCTION_RECIPE_NAME_VITALDRINK200,VitalDrink 200,Життєвий напій 200
PRODUCTION_RECIPE_NAME_FIRSTREFRESHER,First Refresher,Перший освіжувач
PRODUCTION_RECIPE_NAME_GRAYPILL,Gray Pill,Сіра таблетка
PRODUCTION_RECIPE_NAME_SECONDREFRESHER,Second Refresher,Другий освіжувач
PRODUCTION_RECIPE_NAME_PINEOIL,Pine Oil,Соснова олія
PRODUCTION_RECIPE_NAME_VITALDRINK300,VitalDrink 300,Життєвий напій 300
PRODUCTION_RECIPE_NAME_VITALDRINK400,VitalDrink 400,Життєвий напій 400
PRODUCTION_RECIPE_NAME_VITALDRINK500,VitalDrink 500,Життєвий напій 500
PRODUCTION_RECIPE_NAME_VITALDRINK600,VitalDrink 600,Життєвий напій 600
PRODUCTION_RECIPE_NAME_VITALDRINK700,VitalDrink 700,Життєвий напій 700
PRODUCTION_RECIPE_NAME_VITALDRINK800,VitalDrink 800,Життєвий напій 800
PRODUCTION_RECIPE_NAME_YELLOWPILL,Yellow Pill,Жовта таблетка
PRODUCTION_RECIPE_NAME_BLUEPILL,Blue Pill,Синя таблетка
PRODUCTION_RECIPE_NAME_REDPILL,Red Pill,Червона таблетка
PRODUCTION_RECIPE_NAME_THIRDREFRESHER,Third Refresher,Третій освіжувач
PRODUCTION_RECIPE_NAME_FOURTHREFRESHER,Fourth Refresher,Четвертий освіжувач
PRODUCTION_RECIPE_NAME_FIFTHREFRESHER,Fifth Refresher,П'ятий освіжувач
PRODUCTION_RECIPE_NAME_SIXTHREFRESHER,Sixth Refresher,Шостий освіжувач
PRODUCTION_RECIPE_NAME_SEVENTHREFRESHER,Seventh Refresher,Сьомий освіжувач
PRODUCTION_RECIPE_NAME_EIGHTHREFRESHER,Eighth Refresher,Восьмий освіжувач
PRODUCTION_RECIPE_NAME_VITALDRINK900,VitalDrink 900,Життєвий напій 900
PRODUCTION_RECIPE_NAME_NINTHREFRESHER,Ninth Refresher,Дев'ятий освіжувач
PRODUCTION_RECIPE_NAME_TENTHREFRESHER,Tenth Refresher,Десятий освіжувач
PRODUCTION_RECIPE_NAME_GOLDPILL,Gold Pill,Золота таблетка
PRODUCTION_RECIPE_NAME_SHININGGOLDPILL,Shining Gold Pill,Блискуча золота таблетка
PRODUCTION_RECIPE_NAME_CONCOCTIONOFTOUGHSKIN,Concoction of Tough Skin,Зілля міцної шкіри
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRISINGPOWER,Concoction of Rising Power,Зілля зростаючої сили
PRODUCTION_RECIPE_NAME_POTIONOFTHETIGER,Potion of the Tiger,Зілля тигра
PRODUCTION_RECIPE_NAME_POTIONOFTHERABBIT,Potion of the Rabbit,Зілля кролика
PRODUCTION_RECIPE_NAME_POTIONOFTHEFOX,Potion of the Fox,Зілля лиси
PRODUCTION_RECIPE_NAME_POTIONOFTHELION,Potion of the Lion,Зілля лева
PRODUCTION_RECIPE_NAME_CONCOCTIONOFACCURACY,Concoction of Accuracy,Зілля точності
PRODUCTION_RECIPE_NAME_CONCOCTIONOFEVASION,Concoction of Evasion,Зілля ухилення
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTNESS,Concoction of Swiftness,Зілля швидкості
PRODUCTION_RECIPE_NAME_CONCOCTIONOFCLARITY,Concoction of Clarity,Зілля ясності
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRECKLESSNESS,Concoction of Recklessness,Зілля невідповідальності
PRODUCTION_RECIPE_NAME_CONCOCTIONOFBLEEDING,Concoction of Bleeding,Зілля кровотечі
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps,Зілля швидких кроків
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery,Зілля швидкого відновлення ХП
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery,Зілля швидкого відновлення МП
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery,Зілля швидкого відновлення ФП
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher,Потужний освіжувач
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink,Потужний життєвий напій
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish,Обрізана безіменна риба
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2,Обрізана безіменна риба 2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp,Обрізаний креветка
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2,Обрізаний креветка 2
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod,Обрізаний тріска
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2,Обрізаний тріска 2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring,Обрізаний оселедець
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2,Обрізаний оселедець 2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid,Обрізаний кальмар
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2,Обрізаний кальмар 2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel,Обрізаний макрель
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2,Обрізаний макрель 2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel,Обрізаний вугор
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2,Обрізаний вугор 2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon,Обрізаний лосось
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2,Обрізаний лосось 2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna,Обрізаний тунець
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2,Обрізаний тунець 2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese,Сир
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce,Томатний соус
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough,Хлібне тісто
PRODUCTION_RECIPE_NAME_BUTTER,Butter,Масло
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise,Майонез
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice,Готовий рис
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce,Рибний соус
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop,Льодяник
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer,М'ясна шпажка
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit,Бісквіт
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball,Рибна кулька
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pan Cake,Морепродукти млинець
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup,Рибний суп
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread,Булочка
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole,Ковбасна касероль
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog,Гарячий собака
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew,Рибне тушене м'ясо
PRODUCTION_RECIPE_NAME_PIZZA,Pizza,Піца
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood,Варена на парі морепродукти
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel,Жарена макрель
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick,Курячий стіжок
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid,Смажений кальмар
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy,Зіркова цукерка
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet,Рибна котлета
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad,М'ясний салат
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza,Піца з морепродуктами
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp,Смажений креветка
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice,Смажений рис з креветками
PRODUCTION_RECIPE_NAME_GRATIN,Gratin,Гратин
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry,Кокосове острівне карі
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi,Суші з тунцем
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball,Червона рибна кулька
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball,Синя рибна кулька
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball,Зелена рибна кулька
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball,Фіолетова рибна кулька
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball,Веселкова рибна кулька
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball,Помаранчева рибна кулька
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball,Небесно-блакитна рибна кулька
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball,Жовта рибна кулька
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball,Рожева рибна кулька
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball,Сіра рибна кулька
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball,Біла рибна кулька
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring,Маринований оселедець
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak,Лосось стейк
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich,Рибна сендвіч
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel,Жарений соленений вугор
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood,Фанера
PRODUCTION_RECIPE_NAME_RESIN,Resin,Смола
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material,Матеріал для оздоблення
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood,Кедрова твердолиста деревина
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood,Вишневе твердолисте дерево
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood,Соснове твердолисте дерево
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood,Кленове твердолисте дерево
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood,Дубове твердолисте дерево
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood,Волоське твердолисте дерево
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood,Тикове твердолисте дерево
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood,Венге твердолисте дерево
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,Красне дерево твердолисте
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,Червона фарба
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,Синя фарба
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,Жовта фарба
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,Зелена фарба
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,Чорна фарба
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,Біла фарба
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,Золота фарба
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,Дерев'яний стілець
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,Дерев'яний стіл
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,Дерев'яна шухляда
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,Дерев'яна книжкова полиця
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,Дерев'яний диван
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,Дерев'яний жовтий стілець
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,Дерев'яний жовтий стіл
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,Дерев'яний жовтий туалетний столик
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,Дерев'яна жовта шафа
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,Дерев'яна жовта лавка
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,Дерев'яна жовта скринька
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,Дерев'яне жовте ліжко
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,Дерев'яний синій стілець
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,Дерев'яний синій стіл
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,Дерев'яний синій туалетний столик
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,Дерев'яна синя шафа
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,Дерев'яна синя лавка
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,Дерев'яна синя скринька
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,Дерев'яне синє ліжко
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,Дерев'яний червоний стілець
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,Дерев'яний червоний стіл
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,Дерев'яний червоний туалетний столик
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,Дерев'яна червона шафа
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,Дерев'яна червона лавка
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,Дерев'яна червона скринька
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,Дерев'яне червоне ліжко
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,Музичний стілець
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,Музичний стіл
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,Музичний туалетний столик
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,Музична гардеробна
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,Музичний дива��
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,Музична скринька
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,Музичне ліжко
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,Сучасний стілець
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,Сучасний стіл
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,Сучасний туалетний столик
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,Сучасна гардеробна
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,Сучасний диван
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,Сучасна скринька
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,Сучасне ліжко
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,Дизайнерський чорний стілець
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,Дизайнерський білий стілець
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,Дизайнерський стіл
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,Дизайнерська шухляда
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,Дизайнерська книжкова полиця
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,Дизайнерський диван
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,Стілець серця
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,Стіл серця
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,Туалетний столик серця
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,Гардеробна серця
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,Диван серця
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,Скринька серця
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,Ліжко серця
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,Стілець з подушкою
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,Антикварна парта
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,Командна платформа
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,Маленький стіл
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,Шухляда
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,Ліжко-близнюк
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,Королівський стілець
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,Королівський стіл
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,Королівський туалетний столик
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,Королівська гардеробна
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,Королівський диван
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,Королівське ліжко
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,Королівська шухляда
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,Королівська книжкова полиця
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,Королівська парта
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,Королівська ванна
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,Золотий королівський стілець
