Key,English,Ukrainian
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Lodestar
ETC_INC_000018,Lodelight,Lodelight
ETC_INC_000019,Station,Станція
ETC_INC_000020,Weapon,Зброя
ETC_INC_000021,Armor,Броня
ETC_INC_000022,Food,Їжа
ETC_INC_000023,Magic,Магія
ETC_INC_000024,General,Загальний
ETC_INC_000025,Public Office,Державна служба
ETC_INC_000026,Quest Office,Офіс квестів
ETC_INC_000027,Shield,Щит
ETC_INC_000028,Warpzone,Зона деформації
ETC_INC_100001,Rainbow Race,Rainbow Race
ETC_INC_100000,Instance,Екземпляр
