Key,English,Ukrainian
LANGUAGE_CODE,EN,UK
UI_HOME_TITLE,Home,Головна
UI_HOME_GUESTCHAR,Guest Character,Гість-персонаж
UI_HOME_NEWCHAR,New Character,Новий персонаж
UI_HOME_NEWCHAR_TIP,Create a new character without account.,Створіть нового персонажа без облікового запису.
UI_HOME_LOGIN,Sign In,Увійти
UI_HOME_REGISTER,Sign Up,Sign Up
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.","Введіть ідентифікатор та пароль і натисніть OK, щоб підключитися до гри."
UI_HOME_ALREADYACCOUNT,Already have an account?,Вже маєте обліковий запис?
UI_HOME_WEBSITE,Website,Веб-сайт
UI_HOME_CREDITS,Credits,Кредити
UI_HOME_OR,Or,Or
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Пароль:
UI_HOME_RECOVER,Forgot password?,Забули пароль?
UI_SELECTSERVER_TITLE,Select Server,Виберіть сервер
UI_SELECTSERVER_BACK,Back,Назад
UI_SELECTSERVER_NEXT,Next,Далі
UI_SELECTSERVER_FULL,full,повний
UI_SELECTSERVER_BUSY,busy,зайнятий
UI_SELECTSERVER_BEST,best,найкращий
UI_SELECTSERVER_NEWNAME,Please enter another name:,"Будь ласка, введіть інше ім'я:"
UI_SELECTSERVER_NAMETITLE,Character Name,Ім'я персонажа
UI_CHARLIST_TITLE,Characters,Персонажі
UI_CHARLIST_PLAY,Play,Грати
UI_CHARLIST_NEW,New,Новий
UI_CHARLIST_DELETE,Delete,Видалити
UI_DELETECHAR_TITLE,Delete Character,Видалити символ
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Пароль для видалення символу\nВведіть пароль
UI_DELETECHAR_NOPASS,Do you confirm?,Ви підтверджуєте?
UI_DELETECHAR_NOTICE,"If you delete a character, you cannot use its name during a week.","Якщо ви видалите персонажа, ви не зможете використовувати його ім'я протягом тижня."
UI_NEWCHAR_NAME,Name:,Ім'я:
UI_NEWCHAR_GIRL,Girl,Girl
UI_NEWCHAR_BOY,Boy,Boy
UI_MSGBOX_START,Start,Start
UI_MSGBOX_OK,Ok,OK
UI_MSGBOX_RETRY,Retry,Повторити
UI_MSGBOX_CANCEL,Cancel,Скасувати
UI_MSGBOX_YES,Yes,Так
UI_MSGBOX_NO,No,Ні
UI_LOADINGSCREEN,"Loading, please wait...","Завантаження, зачекайте..."
UI_OPTION_TITLE,Options,Опції
UI_OPTION_MUSIC,Music,Музика
UI_OPTION_SOUND,Sound,Звук
UI_OPTION_TEXQUALITY,Textures,Текстури
